No.,Code / Ref,License Holder,Company_name_cl,"Type of 
License",Date of application,"Date of 
award",Award_date_cl,Expiry Date,Expiry_date_cl,Commodity,Commodity_cl,"Area 
(sq km)",Area_km2_cl,"Location State/ 
Region",Location_state_cl,License_location_cl,License_location_code_1_cl,"Coordinates of the
 license area"
41,Production0013/2014,"Htoo Han Thit Co., Ltd,","Htoo Han Thit Co., Ltd,",,,30.12.2014,2014-12-30,29.12.2024,2024-12-29,Coal,Coal,95.5,95.5,Sagaing,Sagaing,Kale,Moemakha,
,Production 0010/2015,"Htoo Han Thit Co., Ltd,","Htoo Han Thit Co., Ltd,",,,7.1.2015,2015-01-07,6.1.2025,2025-01-06,Marble (Decorative),Decorative Marble,100,100,Manadalay,Mandalay,Singu,Ngwetaung,
42,Production0011/2014,"Htut Khaung Kyaw Mining Co., Ltd.","Htut Khaung Kyaw Mining Co., Ltd.",,,17.12.2014,2014-12-17,16.12.2024,2024-12-16,Coal,Coal,998.77,998.77,Sagaing,Sagaing,MawLeik,Kawe Tauk,
43,Production0018/2015,Myanmar   U  Paing  Corporation,Myanmar U Paing Corporation,,,22.7.2015,2015-07-22,23.1.2025,2025-01-23,Coal,Coal,5165.5,5165.5,Sagaing,Sagaing,Kalay,Kyauk  Ohn  Chaung,
44,Production 0016/2009,"Sai Long Hein Mining Co., Ltd.","Sai Long Hein Mining Co., Ltd.",,,9.4.2015,2015-04-09,8.4.2016,2016-04-08,Maganese Dioxide,Manganese Dioxide,49.5,49.5,Shan,Shan,Tachileik,Parshian,
,Production 0063/2011,"Sai Long Hein Mining Co., Ltd.","Sai Long Hein Mining Co., Ltd.",,,9.11.2012,2012-11-09,8.11.2015,2015-11-08,Manganese Dioxide,Manganese Dioxide,99,99,Shan,Shan,Tachileik,Arrye,
45,Production 0045/2009,"Nan Ka Naung Mining 
",Nan Ka Naung Mining,,,19.12.2009,2009-12-19,18.12.2016,2016-12-18,Maganese Dioxide,Manganese Dioxide,49.5,49.5,Tanintharyi,Tanintharyi,Boatbyin,Parwei Kyaun,
,Production 0046/2009,"and Enginering Co., Ltd.","and Enginering Co., Ltd.",,,,2009-12-19,,2016-12-18,,Manganese Dioxide,,49.5,,Tanintharyi,,,
,Production 0047/2009,"and Enginering Co., Ltd.","and Enginering Co., Ltd.",,,,2009-12-19,,2016-12-18,,Manganese Dioxide,,49.5,,Tanintharyi,,,
,Production 0048/2009,"and Enginering Co., Ltd.","and Enginering Co., Ltd.",,,,2009-12-19,,2016-12-18,,Manganese Dioxide,,49.5,,Tanintharyi,,,
,Production 0049/2009,"and Enginering Co., Ltd.","and Enginering Co., Ltd.",,,,2009-12-19,,2016-12-18,,Manganese Dioxide,,49.5,,Tanintharyi,,,
46,Producton 0033/2009,"Naung Tone Dragon Co., Ltd.","Naung Tone Dragon Co., Ltd.",,,28.7.2009,2009-07-28,27.7.2016,2016-07-27,Maganese Dioxide,Manganese Dioxide,49,49,Shan,Shan,Mine Phyat,Wan Sar Loe,
47,Production 0031/2009,"Nway Oo Ya - Nant Mining Co., Ltd. ","Nway Oo Ya - Nant Mining Co., Ltd.",,,2.7.2015,2015-07-02,1.7.2016,2016-07-01,Maganese Dioxide,Manganese Dioxide,49.5,49.5,Shan,Shan,Mine Phyat,Wan Sar Loe,
,Production 0022/2010,"Nway Oo Ya - Nant Mining Co., Ltd. ","Nway Oo Ya - Nant Mining Co., Ltd.",,,,2015-07-02,,2016-07-01,,Manganese Dioxide,,49.5,,Shan,,,
48,Production 0007/2010,"Wunna Thein Than Mining Co., Ltd.","Wunna Thein Than Mining Co., Ltd.",,,16.9.2009,2009-09-16,15.9.20015,2015-09-15,Manganese Dioxide,Manganese Dioxide,49.5,49.5,Shan,Shan,Tachilate,Arr Ye,
,Production 0065/20112,"Wunna Thein Than Mining Co., Ltd.","Wunna Thein Than Mining Co., Ltd.",,,,2009-09-16,,2015-09-15,,Manganese Dioxide,,49.5,,Shan,,,
49,Production 0009/2010,"San Parami Mining Co., Ltd.","San Parami Mining Co., Ltd.",,,21.10.2009,2009-10-21,20.10.2016,2016-10-20,Manganese Dioxide,Manganese Dioxide,49,49,Shan,Shan,Tachilate,Arr Ye,
50,Production 0001/2010,"Aung A 1 Star Family Co., Ltd.","Aung A 1 Star Family Co., Ltd.",,,27.5.2010,2010-05-27,26.5.2016,2016-05-26,Decorative Lime Stone,Decorative Limestone,35.25,35.25,Mon,Mon,Kyauk Ma Yaw,Kat Ka Lut,
,Production 0017/2014,"Aung A 1 Star Family Co., Ltd.","Aung A 1 Star Family Co., Ltd.",,,15.1.2014,2014-01-15,14.1.2019,2019-01-14,,Decorative Limestone,36.75,36.75,,Mon,,,
,Production 0009/2011,"Aung A 1 Star Family Co., Ltd.","Aung A 1 Star Family Co., Ltd.",,,1.3.2009,2009-03-01,28.2.2015,2015-02-28,Bentonite,Bentonite,2.23,2.23,Mon,Mon,Mudon,Dagondaing,
51,Production 0001/2011,"Shwe Ohn Pwint Co., Ltd.","Shwe Ohn Pwint Co., Ltd.",,,11.1.2011,2011-01-11,10.1.2017,2017-01-10,Coal,Coal,49.5,49.5,Shan,Shan,Naung Cho,Than Taung Kwin,
52,Production 0053/2011,"Shan  Yoma  Aye  Chan  Yae  Gold  in  Mines  Product  Co.,  Ltd.","Shan Yoma Aye Chan Yae Gold in Mines Product Co., Ltd.",,,12.5.2011,2011-05-12,11.5.2017,2017-05-11,Coal,Coal,49.5,49.5,Shan,Shan,Tant Yan,Phar  So  And,
,Production 0054/2011,"Shan  Yoma  Aye  Chan  Yae  Gold  in  Mines  Product  Co.,  Ltd.","Shan Yoma Aye Chan Yae Gold in Mines Product Co., Ltd.",,,,2011-05-12,,2017-05-11,,Coal,49.5,49.5,,Shan,,Mat  Paing,
,Production 0055/2011,"Shan  Yoma  Aye  Chan  Yae  Gold  in  Mines  Product  Co.,  Ltd.","Shan Yoma Aye Chan Yae Gold in Mines Product Co., Ltd.",,,,2011-05-12,,2017-05-11,,Coal,49.5,49.5,,Shan,,,
,Production 0056/2011,"Shan  Yoma  Aye  Chan  Yae  Gold  in  Mines  Product  Co.,  Ltd.","Shan Yoma Aye Chan Yae Gold in Mines Product Co., Ltd.",,,,2011-05-12,,2017-05-11,,Coal,49.5,49.5,,Shan,,,
,Production 0057/2011,"Shan  Yoma  Aye  Chan  Yae  Gold  in  Mines  Product  Co.,  Ltd.","Shan Yoma Aye Chan Yae Gold in Mines Product Co., Ltd.",,,,2011-05-12,,2017-05-11,,Coal,42,42,,Shan,,,
,Production 0013/2013,"Shan  Yoma  Aye  Chan  Yae  Gold  in  Mines  Product  Co.,  Ltd.","Shan Yoma Aye Chan Yae Gold in Mines Product Co., Ltd.",,,11.6.2013,2013-06-11,10.6.2016,2016-06-10,Coal,Coal,49,49,Shan,Shan,Lashio,Kaung Paung,
53,Production 008/2011,"Ruby Dragon Mining Co., Ltd.","Ruby Dragon Mining Co., Ltd.",,,25.2.2017,2017-02-25,24.2.2018,2018-02-24,Gypsum,Gypsum,246.1,246.1,Shan ,Shan,Mauk Mae,Nant Lut,
54,Production 0007/2011,"Myint Oo Aung Co., Ltd,","Myint Oo Aung Co., Ltd,",,,25.2.2011,2011-02-25,24.22016,2016-02-24,Manganese Dioxide,Manganese Dioxide,49,49,Shan,Shan,Tachileik,Arrye,
55,Production 0018/2014,"Tun Kyawe Paw co., Ltd.","Tun Kyawe Paw co., Ltd.",,,5.3.2014,2014-03-05,4.3.2017,2017-03-04,Coal,Coal,80.57,80.57,Sagaing,Sagaing,Pinle Bu,Sinlaung,
,Production 0019/2014,"Tun Kyawe Paw co., Ltd.","Tun Kyawe Paw co., Ltd.",,,,2014-03-05,,2017-03-04,,Coal,,80.57,,Sagaing,,Bant Bawe Kone,
,Production 0044/2012,"Tun Kyawe Paw co., Ltd.","Tun Kyawe Paw co., Ltd.",,,22.1.2012,2012-01-22,21.10.2016,2016-10-21,,Coal,66,66,,Sagaing,,Kyun Pin Pyunt,
,Production 0045/2012,"Tun Kyawe Paw co., Ltd.","Tun Kyawe Paw co., Ltd.",,,,2012-01-22,,2016-10-21,,Coal,,66,,Sagaing,,,
,Production 0046/2012,"Tun Kyawe Paw co., Ltd.","Tun Kyawe Paw co., Ltd.",,,,2012-01-22,,2016-10-21,,Coal,,66,,Sagaing,,,
56,Production 0023/2012,"Sein Chi Lin Co., Ltd.","Sein Chi Lin Co., Ltd.",,,27.4.2012,2012-04-27,26.4.2017,2017-04-26,Coal,Coal,49.5,49.5,Magwe,Magway,Minbu,Kyauk Sat,
,Production 0024/2012,"Sein Chi Lin Co., Ltd.","Sein Chi Lin Co., Ltd.",,,,2012-04-27,,2017-04-26,,Coal,49.5,49.5,,Magway,,,
57,Production 0047/2012,"Pothar Mining Co., Ltd.","Pothar Mining Co., Ltd.",,,22.10.2012,2012-10-22,21.10.2022,2022-10-21,Coal,Coal,45,45,Magwe,Magway,Min Hla,Kan Toke,
,Production 0051/2014,"Pothar Mining Co., Ltd.","Pothar Mining Co., Ltd.",,,26.10.2014,2014-10-26,25.11.2019,2019-11-25,,Coal,175.55,175.55,Magwe,Magway,Minbu,Phayar,
58,Production 0025/2012,"People Plus Mining Co., Ltd,","People Plus Mining Co., Ltd,",,,27.4.2012,2012-04-27,26.4.2016,2016-04-26,Coal,Coal,57.15,57.15,Magwe,Magway,Min Hla,Shwe Chaung,
,Production 0026/2012,"People Plus Mining Co., Ltd,","People Plus Mining Co., Ltd,",,,,2012-04-27,,2016-04-26,,Coal,69.75,69.75,,Magway,,Kyat Su Kone,
59,Production 0034/2012,"Yaung Ni Mining Co., Ltd.","Yaung Ni Mining Co., Ltd.",,,20.8.2012,2012-08-20,19.8.2016,2016-08-19,Coal,Coal,41,41,Magwe,Magway,Min Hla,Sat Pyar(1),
,Production 0035/2012,"Yaung Ni Mining Co., Ltd.","Yaung Ni Mining Co., Ltd.",,,,2012-08-20,,2016-08-19,Coal,Coal,4,4,,Magway,,Sat Pyar(2),
,Production 0036/2012,"Yaung Ni Mining Co., Ltd.","Yaung Ni Mining Co., Ltd.",,,,2012-08-20,,2016-08-19,Coal,Coal,8,8,,Magway,,Kine Nge,
,Production 0037/2012,"Yaung Ni Mining Co., Ltd.","Yaung Ni Mining Co., Ltd.",,,,2012-08-20,,2016-08-19,Coal,Coal,5,5,,Magway,,Shan Tat,
60,Production 0058/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",,,5.12.2012,2012-12-05,4.12.2022,2022-12-04,Coal,Coal,12,12,Manadalay,Mandalay,Tharzi,Kyat Sakhan,
,Production 0059/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",,,,2012-12-05,,2022-12-04,,Coal,50,50,,Mandalay,,,
,Production 0060/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",,,,2012-12-05,,2022-12-04,,Coal,50,50,,Mandalay,,,
,Production 0061/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",,,,2012-12-05,,2022-12-04,,Coal,19,19,,Mandalay,,,
,Production 0062/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",,,,2012-12-05,,2022-12-04,,Coal,6,6,,Mandalay,,,
,Production 0063/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",,,,2012-12-05,,2022-12-04,,Coal,50,50,,Mandalay,,,
,Production 0064/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",,,,2012-12-05,,2022-12-04,,Coal,45,45,,Mandalay,,,
61,Production 0040/2012,"Myanmar Ruby Enterprise Jems Co., Ltd.","Myanmar Ruby Enterprise Jems Co., Ltd.",,,5.9.2012,2012-09-05,4.9.2016,2016-09-04,Gypsum,Gypsum,182,182,TaninTharyi,Tanintharyi,Dawei,Sin Phyu Taing,
62,Production 0002/2012,"Mahar Shwe Lawone Mining Co., Ltd.","Mahar Shwe Lawone Mining Co., Ltd.",,,10.0.2012,2011-12-10,9.1.2016,2016-01-09,Manganese Dioxide,Manganese Dioxide,49.5,49.5,Shan,Shan,Tachilenk,Hakyar,
63,Production 0001/2012,"Myint Maung Win Mining Co., Ltd.","Myint Maung Win Mining Co., Ltd.",,,5.9.2012,2012-09-05,4.9.2015,2015-09-04,Manganese Dioxide,Manganese Dioxide,49,49,Shan,Shan,Tachilenk,Naryaung,
,Production 0043/2012,"Myint Maung Win Mining Co., Ltd.","Myint Maung Win Mining Co., Ltd.",,,,2012-09-05,,2015-09-04,,Manganese Dioxide,,49,,Shan,,,
64,Production 0028/2012,"Hein Lin San Mining Co., Ltd,","Hein Lin San Mining Co., Ltd,",,,16.9.2012,2012-09-16,15.9.2016,2016-09-15,Manganese Dioxide,Manganese Dioxide,49.5,49.5,Shan,Shan,Tachilenk,Arrye,
65,Production 0038/2012,"Angelo Mining Co., Ltd,","Angelo Mining Co., Ltd,",,,20.8.2012,2012-08-20,19.8.2016,2016-08-19,Marble ,Marble,25.27,25.27,Manadalay,Mandalay,Mattyar,Myae Pon Kan and Ye Chan Sin Taung Waw Su,
,Production 0039/2012,"Angelo Mining Co., Ltd,","Angelo Mining Co., Ltd,",,,,2012-08-20,,2016-08-19,,Marble,4.87,4.87,,Mandalay,,,
66,Production 0004/2013,"Myint Myat Chan Aye Co., Ltd.","Myint Myat Chan Aye Co., Ltd.",,,12.8.2015,2015-08-12,11.8.2025,2025-08-11,Coal,Coal,49.5,49.5,Magwe ,Magway,Minbu,Than puyar Kine,
,Production 0005/2013,"Myint Myat Chan Aye Co., Ltd.","Myint Myat Chan Aye Co., Ltd.",,,,2015-08-12,,2025-08-11,Coal,Coal,49.5,49.5,,Magway,,,
,Production 0007/2013,"Myint Myat Chan Aye Co., Ltd.","Myint Myat Chan Aye Co., Ltd.",,,,2015-08-12,,2025-08-11,Coal,Coal,49.5,49.5,,Magway,,,
67,Production 0003/2013,"New Shine Seven Co., Ltd.","New Shine Seven Co., Ltd.",,,25.3.2013,2013-03-25,24.3.2018,2018-03-24,Coal,Coal,32.65,32.65,Shan,Shan,Theinni,Kaung I,
68,Production 0010/2013,"ingyin Taung Co., Ltd.","ingyin Taung Co., Ltd.",,,10.4.2013,2013-04-10,9.4.2016,2016-04-09,Coal,Coal,42.05,42.05,Magwe ,Magway,Min Hla,Kantoke,
69,Production 0011/2013,"ZabuThit Mining Co., Ltd.","ZabuThit Mining Co., Ltd.",,,11.6.2013,2013-06-11,10.6.2016,2016-06-10,Coal,Coal,67.73,67.73,Magwe ,Magway,Nga Phae,Oe Myay Twin,
70,Production 0012/2013,"Pan Laung Co., Ltd.","Pan Laung Co., Ltd.",,,11.6.2013,2013-06-11,10.6.2016,2016-06-10,Coal,Coal,49.5,49.5,Magwe ,Magway,Min Hla,Kantoke,
71,Production 0014/2013,"Peace Green World Co., Ltd,","Peace Green World Co., Ltd,",,,19.6.2013,2013-06-19,18.6.2016,2016-06-18,Coal,Coal,184.13,184.13,Magwe ,Magway,Min Hla,Ngae Taung Tan,
72,Production 0015/2013,"Galaxy Myanmar Co., Ltd.","Galaxy Myanmar Co., Ltd.",,,3.7.2013,2013-07-03,2.7.2016,2016-07-02,Coal,Coal,101,101,Magwe ,Magway,Min Hla,Kantoke,
73,Production 0016/2013,"Manadaly Gold Friend Mining Co., Ltd.","Manadaly Gold Friend Mining Co., Ltd.",,,3.7.2014,2014-07-03,2.7.2016,2016-07-02,Coal,Coal,132,132,Sagaing,Sagaing,Kalewa,Pluzawa,
74,Production 0002/2013,"Kyauk Saung Ni Production  Co., Ltd.","Kyauk Saung Ni Production Co., Ltd.",,,5.12.2012,2012-12-05,4.12.2015,2015-12-04,Manganese Dioxide,Manganese Dioxide,49.5,49.5,Shan,Shan,Tachileik,Arr Ye,
75,Production 0020/2014,"Malwin Group Mining Co., Ltd.","Malwin Group Mining Co., Ltd.",,,13.2.2014,2014-02-13,12.2.2017,2017-02-12,Coal,Coal,214.88,214.88,Magwe ,Magway,Min Hla,YeKyaw,
77,Production 0001/2014,"Dragon Cement Co., Ltd.","Dragon Cement Co., Ltd.",,,28..2.2014,2014-02-28,27.2.2024,2024-02-27,Coal,Coal,350,350,Shan,Shan,Nantsan,Kauk Galei,
78,Production 023/2013,"Pyaegaday Product Distribution Co.,Ltd.","Pyaegaday Product Distribution Co.,Ltd.",,,30.12.2013,2013-12-30,29.12.2018,2018-12-29,Magnesite,Magnesite,14.01,14.01,Sagaing,Sagaing,Yin Mar Pin,Mount Thayat,
79,Production 021/2013,Aung Ceramic Tiles Industries Co.Ltd.,Aung Ceramic Tiles Industries Co.Ltd.,,,30.12.2013,2013-12-30,29.12.2018,2018-12-29,Dolomite,Dolomite,10.78,10.78,Shan (South),Shan,Kalaw,Kyae Kone,
80,Production 0035/2014,"Metal Matter Co., Ltd.","Metal Matter Co., Ltd.",,,6.6.2014,2014-06-06,5.6.2017,2017-06-05,Coal,Coal,50,50,Magawe,Magway,Saku,Padaung,
81,Production 0034/2014,"Shwe Hlyat Production Co., Ltd.","Shwe Hlyat Production Co., Ltd.",,,28.5.2014,2014-05-28,27.5.2017,2017-05-27,Coal,Coal,50,50,Sagaing,Sagaing,Pin Le Bu,Man Si Lay,
82,Production 0052/2014,"Shwe Thein Eik Mining Co., Ltd.","Shwe Thein Eik Mining Co., Ltd.",,,26.11.2014,2014-11-26,25.11.2019,2019-11-25,Coal,Coal,197.86,197.86,Magwe,Magway,Na Phae,Sue Padaung,
,Production 0053/2014,"Shwe Thein Eik Mining Co., Ltd.","Shwe Thein Eik Mining Co., Ltd.",,,,2014-11-26,,2019-11-25,,Coal,198.35,198.35,,Magway,,,
83,Production 0065/2014,"Saint Nay Min Co., Ltd.","Saint Nay Min Co., Ltd.",,,24.12.2014,2014-12-24,23.12.2019,2019-12-23,Coal,Coal,77.5,77.5,Magwe ,Magway,Min Hla,Kantoke,
84,Production 0063/2014,"Million Golden Co., Ltd.","Million Golden Co., Ltd.",,,17.12.2014,2014-12-17,16.12.2015,2015-12-16,Coal,Coal,45,45,Magwe ,Magway,Min Hla,Sappyar,
,Production 0064/2014,"Million Golden Co., Ltd.","Million Golden Co., Ltd.",,,,2014-12-17,,2015-12-16,,Coal,40,40,,Magway,,,
85,Production 0048/2014,"Lady Myint and Sons Industrial Co., Ltd.","Lady Myint and Sons Industrial Co., Ltd.",,,26.11.2014,2014-11-26,25.11.2019,2019-11-25,Gypsum,Gypsum,98,98,Kayin,Kayin,Hlaine Bwe,Htee Kahaw,
,Production 0049/2014,"Lady Myint and Sons Industrial Co., Ltd.","Lady Myint and Sons Industrial Co., Ltd.",,,,2014-11-26,,2019-11-25,,Gypsum,,98,,Kayin,,,
86,Production 0044/2014,"Yin Myo Sat Co., ","Yin Myo Sat Co.,",,,12.11.2014,2014-11-12,11.11.2019,2019-11-11,Lime Stone  (Decorative),Decorative Limestone,16,16,Mon,Mon,KyakMayaw,Kwat Kalut,
87,Production 0019/2014,"Mya Tharawun Co., Ltd.","Mya Tharawun Co., Ltd.",,,5.2.2014,2014-02-05,4.2.2017,2017-02-04,Marbel (Decorative),Decorative Marble,8,8,Mandalay,Mandalay,Maddyar,Thein Taw Taung Kwin,
88,Production 0025/2014,"Wai Yan Lwin Co., Ltd.","Wai Yan Lwin Co., Ltd.",,,19.2.2014,2014-02-19,18.2.2017,2017-02-18,Ochre,Ochre,6.25,6.25,Mandalay,Mandalay,Pyaw Bwe,Yar Shae Yoe Kwin,
,Production 0024/2014,"Wai Yan Lwin Co., Ltd.","Wai Yan Lwin Co., Ltd.",,,19.2.2015,2015-02-19,18.2.2018,2018-02-18,Ochre,Ochre,1.58,1.58,Mandalay,Mandalay,Ngan Zun,A Nauk Taw,
