Code/Ref,License holder,Company_name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area  (Km2),Area_km2_cl,Location  (Region),License_location_cl,Coordinates of the license area
0229/2015,"Myauk Kyunn Thu Ma Ma
Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2015-12-10,2015-12-10,2016-12-09,2016-12-09,Gold,Gold,20,20,Kan Taung,Kan Taung,SGU-10A
0230/2015,"Myauk Kyunn Thu Ma Ma
Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2015-12-10,2015-12-10,2016-12-09,2016-12-09,Gold,Gold,20,20,Kan Taung,Kan Taung,SGU-10B
0231/2015,"Myauk Kyunn Thu Ma Ma
Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2015-12-10,2015-12-10,2016-12-09,2016-12-09,Gold,Gold,20,20,Kan Taung,Kan Taung,SGU-11A
0232/2015,"Myauk Kyunn Thu Ma Ma
Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2015-12-10,2015-12-10,2016-12-09,2016-12-09,Gold,Gold,20,20,Kan Taung,Kan Taung,SGU-11B
0233/2015,"Myauk Kyunn Thu Ma Ma
Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2015-12-10,2015-12-10,2016-12-09,2016-12-09,Gold,Gold,20,20,Kan Taung,Kan Taung,CT-33A
0234/2015,"Myauk Kyunn Thu Ma Ma
Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2015-12-10,2015-12-10,2016-12-09,2016-12-09,Gold,Gold,20,20,Kan Taung,Kan Taung,CT-33B
0087/2012,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2012-04-27,2012-04-27,2016-04-26,2016-04-26,Gold,Gold,20,20,Par Paw,Par Paw,SGU-74A
0088/2015,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2012-04-27,2012-04-27,2016-04-26,2016-04-26,Gold,Gold,20,20,Par Paw,Par Paw,SGU-77A
0089/2012,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2012-04-27,2012-04-27,2016-04-26,2016-04-26,Gold,Gold,20,20,Par Paw,Par Paw,SGU-92A
0134/2012,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2012-08-20,2012-08-20,2016-08-19,2016-08-19,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-140A
0135/2012,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2012-08-20,2012-08-20,2016-08-19,2016-08-19,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-141A
0075/2012,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2012-02-15,2012-02-15,2017-02-14,2017-02-14,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-138A
0075/2014,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2015-03-18,2015-03-18,2017-03-17,2017-03-17,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-253
0076/2015,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2015-03-18,2015-03-18,2017-03-17,2017-03-17,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-254
0251/2014,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2014-09-24,2014-09-24,2016-09-23,2016-09-23,Gold,Gold,17,17,Nat Taung,Nat Taung,SGU-51A
0252/2014,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2014-09-24,2014-09-24,2016-09-23,2016-09-23,Gold,Gold,17.3,17.3,Nat Taung,Nat Taung,SGU-51B
0295/2009,"Htat Yee Linn Mining &
 Refinery Co., Ltd","Htat Yee Linn Mining & Refinery Co., Ltd",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Kyi Taut Pauk,Kyi Taut Pauk,SGU-1A
0296/2009,"Htat Yee Linn Mining &
 Refinery Co., Ltd","Htat Yee Linn Mining & Refinery Co., Ltd",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Kyi Taut Pauk,Kyi Taut Pauk,SGU-1B
0297/2009,"Htat Yee Linn Mining &
 Refinery Co., Ltd","Htat Yee Linn Mining & Refinery Co., Ltd",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Kyi Taut Pauk,Kyi Taut Pauk,SGU-1C
0298/2009,"Htat Yee Linn Mining &
 Refinery Co., Ltd","Htat Yee Linn Mining & Refinery Co., Ltd",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Kyi Taut Pauk,Kyi Taut Pauk,SGU-6A
0299/2009,"Htat Yee Linn Mining &
 Refinery Co., Ltd","Htat Yee Linn Mining & Refinery Co., Ltd",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-3A
0300/2009,"Htat Yee Linn Mining &
 Refinery Co., Ltd","Htat Yee Linn Mining & Refinery Co., Ltd",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-3B
0077/2011,"Htat Yee Linn Mining &
 Refinery Co., Ltd","Htat Yee Linn Mining & Refinery Co., Ltd",Small scale,Small,2011-01-18,2011-01-18,2017-01-17,2017-01-17,Gold,Gold,20,20,Kyi Taut Pauk,Kyi Taut Pauk,SGU-1D
0303/2009,"Aung Htun Linn Shein Win
Mining & Refinery Co., Ltd","Aung Htun Linn Shein Win Mining & Refinery Co., Ltd",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Kan Taung,Kan Taung,SGU-4A
0304/2009,"Aung Htun Linn Shein Win
Mining & Refinery Co., Ltd","Aung Htun Linn Shein Win Mining & Refinery Co., Ltd",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Kan Taung,Kan Taung,SGU-4B
0279/2011,"Aung Htun Linn Shein Win
Mining & Refinery Co., Ltd","Aung Htun Linn Shein Win Mining & Refinery Co., Ltd",Small scale,Small,2011-03-24,2011-03-24,2017-03-23,2017-03-23,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-205
0281/2011,"Aung Htun Linn Shein Win
Mining & Refinery Co., Ltd","Aung Htun Linn Shein Win Mining & Refinery Co., Ltd",Small scale,Small,2011-03-24,2011-03-24,2017-03-23,2017-03-23,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-207
0282/2011,"Aung Htun Linn Shein Win
Mining & Refinery Co., Ltd","Aung Htun Linn Shein Win Mining & Refinery Co., Ltd",Small scale,Small,2011-03-24,2011-03-24,2017-03-23,2017-03-23,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-208
0097/2009,"For Luck International 
Co., Ltd.","For Luck International Co., Ltd.",Small scale,Small,2009-07-14,2009-07-14,2016-07-13,2016-07-13,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-127
0156/2009,"Shwe Taung Nyunt 
Co., Ltd.","Shwe Taung Nyunt Co., Ltd.",Small scale,Small,2009-09-04,2009-09-04,2016-09-03,2016-09-03,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-134
0221/2015,"Shwe Taung Nyunt 
Co., Ltd.","Shwe Taung Nyunt Co., Ltd.",Small scale,Small,2015-12-02,2015-12-02,2016-12-01,2016-12-01,Gold,Gold,20,20,Lat Pan Hla,Lat Pan Hla,SGU-256
0202/2012,"Shwe Taung Nyunt 
Co., Ltd.","Shwe Taung Nyunt Co., Ltd.",Small scale,Small,2012-10-22,2012-10-22,2016-10-21,2016-10-21,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-104A
0209/2014,"Shwe Taung Nyunt 
Co., Ltd.","Shwe Taung Nyunt Co., Ltd.",Small scale,Small,2014-07-17,2014-07-17,2016-07-16,2016-07-16,Gold,Gold,19,19,Nat Taung,Nat Taung,SGU-244
0619/2010,"Aung La Pyae Co., Ltd","Aung La Pyae Co., Ltd",Small scale,Small,2010-09-29,2010-09-29,2016-09-28,2016-09-28,Gold,Gold,20,20,Wa Bo Chat,Wa Bo Chat,SGU-157
0621/2010,"Aung La Pyae Co., Ltd","Aung La Pyae Co., Ltd",Small scale,Small,2010-09-29,2010-09-29,2016-09-28,2016-09-28,Gold,Gold,20,20,Wa Bo Chat,Wa Bo Chat,SGU-159
0210/2014,"Aung La Pyae Co., Ltd","Aung La Pyae Co., Ltd",Small scale,Small,2014-07-17,2014-07-17,2016-07-16,2016-07-16,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-243
0222/2015,"Aung La Pyae Co., Ltd","Aung La Pyae Co., Ltd",Small scale,Small,2015-12-02,2015-12-02,2016-12-01,2016-12-01,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-257
0617/2010,"Aung La Pyae Co., Ltd","Aung La Pyae Co., Ltd",Small scale,Small,2010-09-29,2010-09-29,2016-09-28,2016-09-28,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-155
0618/2010,"Aung La Pyae Co., Ltd","Aung La Pyae Co., Ltd",Small scale,Small,2010-09-29,2010-09-29,2016-09-28,2016-09-28,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-156
0248/2015,"Pyi Sone Aung 
Mining Co., Ltd.","Pyi Sone Aung Mining Co., Ltd.",Small scale,Small,2015-12-23,2015-12-23,2016-12-22,2016-12-22,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-137A
0249/2015,"Pyi Sone Aung 
Mining Co., Ltd.","Pyi Sone Aung Mining Co., Ltd.",Small scale,Small,2015-12-23,2015-12-23,2016-12-22,2016-12-22,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-143A
0252/2015,"Pyi Sone Aung 
Mining Co., Ltd.","Pyi Sone Aung Mining Co., Ltd.",Small scale,Small,2015-12-23,2015-12-23,2016-12-22,2016-12-22,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-158A
0011/2015,"Pyi Sone Aung 
Mining Co., Ltd.","Pyi Sone Aung Mining Co., Ltd.",Small scale,Small,2015-02-03,2015-02-03,2017-02-02,2017-02-02,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-125A
0247/2015,"Pyi Sone Aung 
Mining Co., Ltd.","Pyi Sone Aung Mining Co., Ltd.",Small scale,Small,2015-12-23,2015-12-23,2016-12-22,2016-12-22,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-81A
0098/2009,"Yadanar Shwe Yee Win 
Mining Co., Ltd.","Yadanar Shwe Yee Win Mining Co., Ltd.",Small scale,Small,2009-07-14,2009-07-14,2015-07-13,2015-07-13,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-128
0099/2009,"Yadanar Shwe Yee Win 
Mining Co., Ltd.","Yadanar Shwe Yee Win Mining Co., Ltd.",Small scale,Small,2009-07-14,2009-07-14,2016-07-13,2016-07-13,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-129
0070/2011,"Theiddi Aung Shwe 
Moe Mining Co., Ltd","Theiddi Aung Shwe Moe Mining Co., Ltd",Small scale,Small,2011-01-18,2011-01-18,2017-01-17,2017-01-17,Gold,Gold,20,20,Khu Lae,Khu Lae,SGU-180
0074/2011,"Theiddi Aung Shwe 
Moe Mining Co., Ltd","Theiddi Aung Shwe Moe Mining Co., Ltd",Small scale,Small,2011-01-18,2011-01-18,2017-01-17,2017-01-17,Gold,Gold,20,20,Khu Lae,Khu Lae,SGU-184
0160/2011,"Myanmar Golden Point 
Family Co., Ltd.","Myanmar Golden Point Family Co., Ltd.",Small scale,Small,2011-02-07,2011-02-07,2017-02-06,2017-02-06,Gold,Gold,20,20,Thanpayar Cheuk,Thanpayar Cheuk,SGU-186
0634/2010,"Aung Ko Thu Mining 
Co., Ltd.","Aung Ko Thu Mining Co., Ltd.",Small scale,Small,2010-09-29,2010-09-29,2016-09-28,2016-09-28,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-162
0840/2010,"Tun Thiri Yadanar 
Mining Co., Ltd.","Tun Thiri Yadanar Mining Co., Ltd.",Small scale,Small,2010-12-24,2010-12-24,2016-12-23,2016-12-23,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-166
0841/2010,"Tun Thiri Yadanar 
Mining Co., Ltd.","Tun Thiri Yadanar Mining Co., Ltd.",Small scale,Small,2010-12-24,2010-12-24,2016-12-23,2016-12-23,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-167
0211/2014,"Tun Thiri Yadanar 
Mining Co., Ltd.","Tun Thiri Yadanar Mining Co., Ltd.",Small scale,Small,2014-07-24,2014-07-24,2016-07-23,2016-07-23,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-240
0212/2014,"Tun Thiri Yadanar 
Mining Co., Ltd.","Tun Thiri Yadanar Mining Co., Ltd.",Small scale,Small,2014-07-24,2014-07-24,2016-07-23,2016-07-23,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-241
0213/2014,"Tun Thiri Yadanar 
Mining Co., Ltd.","Tun Thiri Yadanar Mining Co., Ltd.",Small scale,Small,2014-07-24,2014-07-24,2016-07-23,2016-07-23,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-242
0842/2010,"Yadanar Pyi Phyo Aung 
Mining Co., Ltd.","Yadanar Pyi Phyo Aung Mining Co., Ltd.",Small scale,Small,2010-12-24,2010-12-24,2016-12-23,2016-12-23,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-168
0879/2010,"Yadanar Zayar Mining & 
Manufacturing Co., Ltd.","Yadanar Zayar Mining & Manufacturing Co., Ltd.",Small scale,Small,2010-12-24,2010-12-24,2016-12-23,2016-12-23,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-169
0278/2011,"Shwe Thant Oo Co., Ltd.","Shwe Thant Oo Co., Ltd.",Small scale,Small,2011-03-24,2011-03-24,2017-03-23,2017-03-23,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-204
0196/2010,"Pyi Thar Naing Co., Ltd.","Pyi Thar Naing Co., Ltd.",Small scale,Small,2010-02-25,2010-02-25,2017-02-24,2017-02-24,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-189
0197/2010,"Pyi Thar Naing Co., Ltd.","Pyi Thar Naing Co., Ltd.",Small scale,Small,2010-02-25,2010-02-25,2017-02-24,2017-02-24,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-190
0230/2011,"Eternal Mining Co., Ltd","Eternal Mining Co., Ltd",Small scale,Small,2010-02-25,2010-02-25,2017-02-24,2017-02-24,Gold,Gold,20,20,Own Zone,Own Zone,SGU-191
0044/2012,"Ever Good Luck Gold & 
Mining Co., Ltd","Ever Good Luck Gold & Mining Co., Ltd",Small scale,Small,2012-02-10,2012-02-10,2017-02-09,2017-02-09,Gold,Gold,20,20,Khu Lae,Khu Lae,SGU-192
0096/2012,"Yadanar Shwe Poun 
Mining  Co., Ltd.","Yadanar Shwe Poun Mining Co., Ltd.",Small scale,Small,2012-02-15,2012-02-15,2017-02-14,2017-02-14,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-82A
0074/2012,"Yadanar Shwe Poun 
Mining  Co., Ltd.","Yadanar Shwe Poun Mining Co., Ltd.",Small scale,Small,2012-02-15,2012-02-15,2017-02-14,2017-02-14,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-87A
0277/2011,"Naing Myint Mo Co., Ltd","Naing Myint Mo Co., Ltd",Small scale,Small,2011-03-24,2011-03-24,2017-03-23,2017-03-23,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-203
0090/2012,"Shwe La Win Co., Ltd.","Shwe La Win Co., Ltd.",Small scale,Small,2012-04-27,2012-04-27,2016-04-26,2016-04-26,Gold,Gold,20,20,Wa Bo Chat,Wa Bo Chat,SGU-160A
0091/2012,"Shwe La Win Co., Ltd.","Shwe La Win Co., Ltd.",Small scale,Small,2012-04-27,2012-04-27,2016-04-26,2016-04-26,Gold,Gold,20,20,Wa Bo Chat,Wa Bo Chat,SGU-161A
0093/2012,"Tha Pyay Aung (Mogoke) 
Co., Ltd.","Tha Pyay Aung (Mogoke) Co., Ltd.",Small scale,Small,2012-04-27,2012-04-27,2016-04-26,2016-04-26,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-133A
0082/2013,"Mandalar Myint Family 
Industrial Co., Ltd","Mandalar Myint Family Industrial Co., Ltd",Small scale,Small,2013-04-22,2013-04-22,2016-04-21,2016-04-21,Gold,Gold,20,20,Nga Pyin Inn,Nga Pyin Inn,SGU-228
0107/2013,"Mandalar Myint Family 
Industrial Co., Ltd","Mandalar Myint Family Industrial Co., Ltd",Small scale,Small,2013-06-11,2013-06-11,2016-06-10,2016-06-10,Gold,Gold,20,20,Nga Pyin Inn,Nga Pyin Inn,SGU-227
0091/2013,"May Po Mining Co., Ltd","May Po Mining Co., Ltd",Small scale,Small,2013-05-09,2013-05-09,2016-05-08,2016-05-08,Gold,Gold,18,18,Nat Taung,Nat Taung,SGU-229
0817/2014,"Aung Shwe Htun Co., Ltd. ","Aung Shwe Htun Co., Ltd.",Small scale,Small,2014-06-06,2014-06-06,2016-06-05,2016-06-05,Gold,Gold,12.5,12.5,Shout Pin Yoe,Shout Pin Yoe,SGU-239
0221/2014,"Han Lin Star Co., Ltd.","Han Lin Star Co., Ltd.",Small scale,Small,2014-08-19,2014-08-19,2016-08-18,2016-08-18,Gold,Gold,2,2,Shout Pin Yoe,Shout Pin Yoe,SGU-245
0295/2014,"Yadanar Kywe Wa Chan 
Thar Mining Co., Ltd.","Yadanar Kywe Wa Chan Thar Mining Co., Ltd.",Small scale,Small,2014-12-17,2014-12-17,2016-12-16,2016-12-16,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-248
0070/2015,"Shwe Taung Nyunt Co., Ltd.","Shwe Taung Nyunt Co., Ltd.",Small scale,Small,2015-03-12,2015-03-12,2017-03-11,2017-03-11,Gold,Gold,20,20,Nat Taung,Nat Taung,SGU-249
0117/2015,"Ngwe Myanmar Aung 
Co., Ltd.","Ngwe Myanmar Aung Co., Ltd.",Small scale,Small,2015-05-27,2015-05-27,2016-05-26,2016-05-26,Gold,Gold,15.15,15.15,Shout Pin Yoe,Shout Pin Yoe,SGU-164A
0135/2015,"Yaung Chi Nagar 
Gems Co.,Ltd","Yaung Chi Nagar Gems Co.,Ltd",Small scale,Small,2015-07-01,2015-07-01,2016-06-30,2016-06-30,Gold,Gold,20,20,Kan Taung,Kan Taung,SGU-255
0171/2015,"Ephram Mining Co.,Ltd","Ephram Mining Co.,Ltd",Small scale,Small,2015-08-19,2015-08-19,2016-08-18,2016-08-18,Gold,Gold,20,20,Nga Pyin Inn,Nga Pyin Inn,SGU-250
0185/2015,"Pyae Mining Co.,Ltd","Pyae Mining Co.,Ltd",Small scale,Small,2015-09-23,2015-09-23,2016-09-22,2016-09-22,Gold,Gold,13.5,13.5,Shout Pin Yoe,Shout Pin Yoe,SGU-163A
0253/2015,"Shwe Moe Ywa Pyi 
Co.,Ltd","Shwe Moe Ywa Pyi Co.,Ltd",Small scale,Small,2015-09-29,2015-09-29,2016-12-28,2016-12-28,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-173A
0004/2016,"Shwe Singu Region 
Development Pubulic 
Co.,Ltd","Shwe Singu Region Development Pubulic Co.,Ltd",Small scale,Small,2016-01-06,2016-01-06,2017-01-05,2017-01-05,Gold,Gold,14.8,14.8,Shout Pin Yoe,Shout Pin Yoe,SGU-258
0048/2016,"Wana & Sons Mining 
Co.,Ltd","Wana & Sons Mining Co.,Ltd",Small scale,Small,2016-03-16,2016-03-16,2017-03-15,2017-03-15,Gold,Gold,12,12,Shout Pin Yoe,Shout Pin Yoe,SGU-260
0018/2016,"Myanmar Yadanar 
Aung Zabu Mining Co.,Ltd","Myanmar Yadanar Aung Zabu Mining Co.,Ltd",Small scale,Small,2016-03-01,2016-03-01,2017-02-28,2017-02-28,Gold,Gold,20,20,Nga Pyin Inn,Nga Pyin Inn,SGU-218
0047/2016,"Sai Aung Shan Mining 
Corporate Co.,Ltd","Sai Aung Shan Mining Corporate Co.,Ltd",Small scale,Small,2016-03-16,2016-03-16,2017-03-15,2017-03-15,Gold,Gold,20,20,Shout Pin Yoe,Shout Pin Yoe,SGU-259
0085/2015,"Nilar Lin Let Co., Ltd","Nilar Lin Let Co., Ltd",Small scale,Small,2015-03-25,2015-03-25,2017-03-24,2017-03-24,Gold,Gold,20,20,Yae Gyi,Yae Gyi,MTY-1
0209/2012,"Kathe Kwin Mining 
Co., Ltd","Kathe Kwin Mining Co., Ltd",Small scale,Small,2012-07-12,2012-07-12,2016-07-11,2016-07-11,Gold,Gold,20,20,Sinn Twin Kyaung Gone,Sinn Twin Kyaung Gone,YMT-59
0073/2009,"Sann Shwe Pyi Gold & 
Mining Co., Ltd","Sann Shwe Pyi Gold & Mining Co., Ltd",Small scale,Small,2009-05-27,2009-05-27,2016-05-26,2016-05-26,Gold,Gold,20,20,Sinn Twin Kyaung Gone,Sinn Twin Kyaung Gone,YMT-203
0074/2009,"Sann Shwe Pyi Gold & 
Mining Co., Ltd","Sann Shwe Pyi Gold & Mining Co., Ltd",Small scale,Small,2009-05-27,2009-05-27,2016-05-26,2016-05-26,Gold,Gold,20,20,Sinn Twin Kyaung Gone,Sinn Twin Kyaung Gone,YMT-204
0037/2011,"Yadanar Kadae Thaik 
Co., Ltd","Yadanar Kadae Thaik Co., Ltd",Small scale,Small,2011-01-18,2011-01-18,2017-01-17,2017-01-17,Gold,Gold,20,20,Waphu taung,Waphu taung,ST-2
0154/2012,"Shwe Shwe Lee 
Mining Co.,Ltd","Shwe Shwe Lee Mining Co.,Ltd",Small scale,Small,2012-09-05,2012-09-05,2016-09-04,2016-09-04,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-242A
0155/2012,"Shwe Shwe Lee 
Mining Co.,Ltd","Shwe Shwe Lee Mining Co.,Ltd",Small scale,Small,2012-09-05,2012-09-05,2016-09-04,2016-09-04,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-242B
0087/2014,"Pyi Htaung Su Thar 
Co., Ltd","Pyi Htaung Su Thar Co., Ltd",Small scale,Small,2014-03-04,2014-03-04,2017-03-03,2017-03-03,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-255
0088/2014,"Pyi Htaung Su Thar 
Co., Ltd","Pyi Htaung Su Thar Co., Ltd",Small scale,Small,2014-03-04,2014-03-04,2017-03-03,2017-03-03,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-256
0089/2014,"Pyi Htaung Su Thar 
Co., Ltd","Pyi Htaung Su Thar Co., Ltd",Small scale,Small,2014-03-04,2014-03-04,2017-03-03,2017-03-03,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-257
0108/2014,"Moehti Moemi Collective
Small Scale Gold Production
Entrepreneurs Co., Ltd","Moehti Moemi Collective Small Scale Gold Production Entrepreneurs Co., Ltd",Small scale,Small,2014-03-26,2014-03-26,2016-03-25,2016-03-25,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-258
0109/2014,"Moehti Moemi Collective
Small Scale Gold Production
Entrepreneurs Co., Ltd","Moehti Moemi Collective Small Scale Gold Production Entrepreneurs Co., Ltd",Small scale,Small,2014-03-26,2014-03-26,2016-03-25,2016-03-25,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-259
0110/2014,"Moehti Moemi Collective
Small Scale Gold Production
Entrepreneurs Co., Ltd","Moehti Moemi Collective Small Scale Gold Production Entrepreneurs Co., Ltd",Small scale,Small,2014-03-26,2014-03-26,2016-03-25,2016-03-25,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-260
0111/2014,"Moehti Moemi Collective
Small Scale Gold Production
Entrepreneurs Co., Ltd","Moehti Moemi Collective Small Scale Gold Production Entrepreneurs Co., Ltd",Small scale,Small,2014-03-26,2014-03-26,2016-03-25,2016-03-25,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-261
0112/2014,"Moehti Moemi Collective
Small Scale Gold Production
Entrepreneurs Co., Ltd","Moehti Moemi Collective Small Scale Gold Production Entrepreneurs Co., Ltd",Small scale,Small,2014-03-26,2014-03-26,2016-03-25,2016-03-25,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-262
0164/2014,"Ruby Dragon Mining 
Co., Ltd","Ruby Dragon Mining Co., Ltd",Small scale,Small,2014-05-28,2014-05-28,2016-05-27,2016-05-27,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-264
0165/2014,"Ruby Dragon Mining 
Co., Ltd","Ruby Dragon Mining Co., Ltd",Small scale,Small,2014-05-28,2014-05-28,2016-05-27,2016-05-27,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-265
0168/2014,"Ruby Dragon Mining 
Co., Ltd","Ruby Dragon Mining Co., Ltd",Small scale,Small,2014-05-28,2014-05-28,2016-05-27,2016-05-27,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-268
0169/2014,"Ruby Dragon Mining 
Co., Ltd","Ruby Dragon Mining Co., Ltd",Small scale,Small,2014-05-28,2014-05-28,2016-05-27,2016-05-27,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-269
0253/2014,"Myauk Kyunn Thu 
Ma Ma Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2014-09-24,2014-09-24,2016-09-23,2016-09-23,Gold,Gold,20,20,Waphu taung,Waphu taung,YMT-271
0254/2014,"Myauk Kyunn Thu 
Ma Ma Mining & Refinery Co., Ltd","Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",Small scale,Small,2014-09-24,2014-09-24,2016-09-23,2016-09-23,Gold,Gold,16,16,Waphu taung,Waphu taung,YMT-272
0023/2015,"Myanmar Shwe Pyi Hein 
Co., Ltd.","Myanmar Shwe Pyi Hein Co., Ltd.",Small scale,Small,2015-01-21,2015-01-21,2017-01-20,2017-01-20,Gold,Gold,20,20,Hlae Lann Kuu,Hlae Lann Kuu,KTM-48
0103/2013,"Tun Hein Hylan Co., Ltd.","Tun Hein Hylan Co., Ltd.",Small scale,Small,2013-03-12,2013-03-12,2017-03-11,2017-03-11,Gold,Gold,20,20,Inga Bo,Inga Bo,KTM-43
0151/2015,"Ruby Dragon 
Mining Co.,Ltd.","Ruby Dragon Mining Co.,Ltd.",Small scale,Small,2015-07-22,2015-07-22,2016-07-21,2016-07-21,Gold,Gold,20,20,Inga Bo,Inga Bo,KTM-44
